"destiny","year","Hombres","Mujeres","dif","win","total_country"
"Alemania","2008",0.385965,0.453617,0.0676521,"Mujeres",361965
"Alemania","2009",0.323196,0.44887,0.125674,"Mujeres",361965
"Alemania","2010",0.195455,0.283936,0.0884811,"Mujeres",361965
"Alemania","2011",0.211007,0.28451,0.0735026,"Mujeres",361965
"Alemania","2012",0.283604,0.299512,0.0159083,"Mujeres",361965
"Alemania","2013",0.261837,0.263903,0.00206569,"Mujeres",361965
"Alemania","2014",0.439494,0.37939,0.0601041,"Hombres",361965
"Austria","2008",0.225606,0.349603,0.123997,"Mujeres",85570
"Austria","2009",0.182143,0.276261,0.0941176,"Mujeres",85570
"Austria","2010",0.19957,0.349941,0.150371,"Mujeres",85570
"Austria","2011",0.24853,0.450068,0.201538,"Mujeres",85570
"Austria","2012",0.219226,0.43562,0.216394,"Mujeres",85570
"Austria","2013",0.239683,0.431172,0.191489,"Mujeres",85570
"Bélgica","2008",0.236169,0.281186,0.0450171,"Mujeres",130080
"Bélgica","2009",0.178571,0.197708,0.0191363,"Mujeres",130080
"Bélgica","2010",0.215255,0.189974,0.0252814,"Hombres",130080
"Bélgica","2011",0.247585,0.257318,0.00973336,"Mujeres",130080
"Bélgica","2012",0.224871,0.217664,0.00720732,"Hombres",130080
"Bélgica","2013",0.28958,0.288756,0.000823703,"Hombres",130080
"Bélgica","2014",0.373974,0.428085,0.0541103,"Mujeres",130080
"Bulgaria","2008",0.42,0.52381,0.10381,"Mujeres",12710
"Bulgaria","2009",0.387097,0.684211,0.297114,"Mujeres",12710
"Bulgaria","2010",0.253333,0.307692,0.054359,"Mujeres",12710
"Bulgaria","2011",0.290323,0.6,0.309677,"Mujeres",12710
"Bulgaria","2012",0.255319,0.352941,0.097622,"Mujeres",12710
"Bulgaria","2013",0.858333,0.946237,0.0879032,"Mujeres",12710
"Bulgaria","2014",0.933619,0.982922,0.0493034,"Mujeres",12710
"Chipre","2009",0.252,0.378601,0.126601,"Mujeres",11720
"Chipre","2010",0.139932,0.208092,0.0681607,"Mujeres",11720
"Chipre","2011",0.0151976,0.0111732,0.00402438,"Hombres",11720
"Chipre","2012",0.0604027,0.0666667,0.00626398,"Mujeres",11720
"Chipre","2013",0.22093,0.166667,0.0542636,"Hombres",11720
"Chipre","2014",0.796407,0.740741,0.0556664,"Hombres",11720
"Croacia","2012",0.0588235,0,0.0588235,"Hombres",410
"Croacia","2013",0.0384615,NaN,NA,NA,410
"Croacia","2014",0.0540541,NaN,NA,NA,410
"Dinamarca","2009",0.509009,0.479452,0.029557,"Hombres",26940
"Dinamarca","2010",0.429224,0.379121,0.0501029,"Hombres",26940
"Dinamarca","2011",0.369261,0.359281,0.00998004,"Hombres",26940
"Dinamarca","2012",0.32562,0.444444,0.118825,"Mujeres",26940
"Dinamarca","2013",0.390465,0.438034,0.0475688,"Mujeres",26940
"Dinamarca","2014",0.724348,0.585308,0.13904,"Hombres",26940
"Eslovaquia","2008",0.210526,0.333333,0.122807,"Mujeres",890
"Eslovaquia","2009",0.5,1,0.5,"Mujeres",890
"Eslovaquia","2010",0.238095,0,0.238095,"Hombres",890
"Eslovaquia","2011",0,NA,NA,NA,890
"Eslovaquia","2012",0.133333,0,0.133333,"Hombres",890
"Eslovaquia","2013",0.25,NA,NA,NA,890
"Eslovaquia","2014",0.714286,NA,NA,NA,890
"Eslovenia","2008",0,0,0,"Hombres",750
"Eslovenia","2009",0.0909091,0,0.0909091,"Hombres",750
"Eslovenia","2010",0.2,0,0.2,"Hombres",750
"Eslovenia","2011",0,0,0,"Hombres",750
"Eslovenia","2012",0.125,0,0.125,"Hombres",750
"Eslovenia","2013",0.103448,NaN,NA,NA,750
"Eslovenia","2014",0.75,0.666667,0.0833333,"Hombres",750
"España","2008",0.0361446,0.0473186,0.011174,"Mujeres",22760
"España","2009",0.0578231,0.0608365,0.00301337,"Mujeres",22760
"España","2010",0.185792,0.251701,0.0659083,"Mujeres",22760
"España","2011",0.223235,0.401042,0.177807,"Mujeres",22760
"España","2012",0.150442,0.23622,0.085778,"Mujeres",22760
"España","2013",0.168196,0.346535,0.178339,"Mujeres",22760
"España","2014",0.358763,0.639594,0.280831,"Mujeres",22760
"Estonia","2008",NaN,NaN,NA,NA,115
"Estonia","2009",0,NaN,NA,NA,115
"Estonia","2010",0.5,NaN,NA,NA,115
"Estonia","2011",0.142857,NaN,NA,NA,115
"Estonia","2012",0,NaN,NA,NA,115
"Estonia","2013",0,NaN,NA,NA,115
"Estonia","2014",0.25,NaN,NA,NA,115
"Finlandia","2008",0.341991,0.507692,0.165701,"Mujeres",15810
"Finlandia","2009",0.301887,0.367188,0.0653007,"Mujeres",15810
"Finlandia","2010",0.326979,0.33871,0.0117302,"Mujeres",15810
"Finlandia","2011",0.367273,0.507246,0.139974,"Mujeres",15810
"Finlandia","2012",0.474194,0.4875,0.0133065,"Mujeres",15810
"Finlandia","2013",0.480114,0.558824,0.0787099,"Mujeres",15810
"Finlandia","2014",0.550265,0.512195,0.0380694,"Hombres",15810
"Francia","2008",0.118005,0.239488,0.121483,"Mujeres",334710
"Francia","2009",0.108108,0.198007,0.0898994,"Mujeres",334710
"Francia","2010",0.112546,0.170986,0.0584403,"Mujeres",334710
"Francia","2011",0.0879813,0.145525,0.0575437,"Mujeres",334710
"Francia","2012",0.121241,0.179735,0.0584943,"Mujeres",334710
"Francia","2013",0.145354,0.214025,0.0686703,"Mujeres",334710
"Francia","2014",0.187312,0.257724,0.0704119,"Mujeres",334710
"Grecia","2008",0.00035657,0.0126582,0.0123017,"Mujeres",92200
"Grecia","2009",0.00686869,0.00824176,0.00137307,"Mujeres",92200
"Grecia","2010",0.0192308,0.0220588,0.00282805,"Mujeres",92200
"Grecia","2011",0.0135714,0.0167224,0.00315098,"Mujeres",92200
"Grecia","2012",0.00479233,0,0.00479233,"Hombres",92200
"Grecia","2013",0.0298308,0.0684524,0.0386216,"Mujeres",92200
"Grecia","2014",0.144359,0.133205,0.0111548,"Hombres",92200
"Holanda","2008",0.463918,0.636959,0.173042,"Mujeres",104365
"Holanda","2009",0.385301,0.627273,0.241972,"Mujeres",104365
"Holanda","2010",0.379651,0.572289,0.192638,"Mujeres",104365
"Holanda","2011",0.356513,0.553951,0.197438,"Mujeres",104365
"Holanda","2012",0.343618,0.500495,0.156877,"Mujeres",104365
"Holanda","2013",0.465116,0.544406,0.0792897,"Mujeres",104365
"Holanda","2014",0.697244,0.61211,0.0851345,"Hombres",104365
"Hungría","2008",0.279661,0.461538,0.181877,"Mujeres",13420
"Hungría","2009",0.233607,0.120879,0.112727,"Hombres",13420
"Hungría","2010",0.231214,0.294118,0.0629038,"Mujeres",13420
"Hungría","2011",0.178947,0.137931,0.0410163,"Hombres",13420
"Hungría","2012",0.276423,0.391304,0.114882,"Mujeres",13420
"Hungría","2013",0.0387374,0,0.0387374,"Hombres",13420
"Hungría","2014",0.099723,0.0126582,0.0870648,"Hombres",13420
"Irlanda","2008",0.0692124,0.072,0.00278759,"Mujeres",11060
"Irlanda","2009",0.0261097,0.0154639,0.0106457,"Hombres",11060
"Irlanda","2010",0.00537634,0,0.00537634,"Hombres",11060
"Irlanda","2011",0.0275862,0.0306122,0.00302604,"Mujeres",11060
"Irlanda","2012",0.0729167,0.08,0.00708333,"Mujeres",11060
"Irlanda","2013",0.158537,0.148936,0.00960042,"Hombres",11060
"Irlanda","2014",0.369369,0.283333,0.086036,"Hombres",11060
"Italia","2008",0.478083,0.489583,0.0115003,"Mujeres",162895
"Italia","2009",0.38453,0.431203,0.0466722,"Mujeres",162895
"Italia","2010",0.406288,0.285974,0.120313,"Hombres",162895
"Italia","2011",0.276153,0.392713,0.11656,"Mujeres",162895
"Italia","2012",0.8116,0.80033,0.0112702,"Hombres",162895
"Italia","2013",0.610582,0.60262,0.00796166,"Hombres",162895
"Italia","2014",0.56991,0.729927,0.160017,"Mujeres",162895
"Letonia","2008",NaN,NaN,NA,NA,310
"Letonia","2009",0,0,0,"Hombres",310
"Letonia","2010",0.4,1,0.6,"Mujeres",310
"Letonia","2011",0.2,0,0.2,"Hombres",310
"Letonia","2012",0.166667,0,0.166667,"Hombres",310
"Letonia","2013",0.333333,0,0.333333,"Hombres",310
"Letonia","2014",0.375,0,0.375,"Hombres",310
"Lituania","2008",0.5,1,0.5,"Mujeres",1280
"Lituania","2009",0.294118,0.166667,0.127451,"Hombres",1280
"Lituania","2010",0,0.1,0.1,"Mujeres",1280
"Lituania","2011",0.0192308,0,0.0192308,"Hombres",1280
"Lituania","2012",0.078125,0.285714,0.207589,"Mujeres",1280
"Lituania","2013",0.296296,1,0.703704,"Mujeres",1280
"Lituania","2014",0.304348,0.777778,0.47343,"Mujeres",1280
"Luxemburgo","2008",0.403846,0.304348,0.0994983,"Hombres",5540
"Luxemburgo","2009",0.170213,0.296296,0.126084,"Mujeres",5540
"Luxemburgo","2010",0.037037,0.0909091,0.0538721,"Mujeres",5540
"Luxemburgo","2011",0.0267857,0.0136986,0.0130871,"Hombres",5540
"Luxemburgo","2012",0.0220994,0.0218978,0.000201637,"Hombres",5540
"Luxemburgo","2013",0.0723684,0.0666667,0.00570175,"Hombres",5540
"Luxemburgo","2014",0.0947368,0.12069,0.0259528,"Mujeres",5540
"Malta","2008",0.502155,0.741935,0.23978,"Mujeres",11995
"Malta","2009",0.647619,0.714286,0.0666667,"Mujeres",11995
"Malta","2010",0.632653,0.75,0.117347,"Mujeres",11995
"Malta","2011",0.545082,0.548387,0.00330513,"Mujeres",11995
"Malta","2012",0.909091,0.940299,0.0312076,"Mujeres",11995
"Malta","2013",0.861017,0.847222,0.0137947,"Hombres",11995
"Malta","2014",0.729927,0.807692,0.0777653,"Mujeres",11995
"Polonia","2008",0.639821,0.684073,0.0442521,"Mujeres",25745
"Polonia","2009",0.356369,0.417563,0.0611942,"Mujeres",25745
"Polonia","2010",0.0816327,0.121547,0.0399143,"Mujeres",25745
"Polonia","2011",0.122905,0.142857,0.0199521,"Mujeres",25745
"Polonia","2012",0.186131,0.207921,0.0217894,"Mujeres",25745
"Polonia","2013",0.211921,0.234127,0.0222065,"Mujeres",25745
"Polonia","2014",0.257627,0.253275,0.00435201,"Hombres",25745
"Portugal","2008",0.75,0.75,0,"Hombres",705
"Portugal","2009",0.625,1,0.375,"Mujeres",705
"Portugal","2010",0.25,0.666667,0.416667,"Mujeres",705
"Portugal","2011",0.285714,0.8,0.514286,"Mujeres",705
"Portugal","2012",0.318182,0.75,0.431818,"Mujeres",705
"Portugal","2013",0.3,0.2,0.1,"Hombres",705
"Portugal","2014",0.5,0.571429,0.0714286,"Mujeres",705
"Reino Unido","2008",0.294702,0.293656,0.0010464,"Hombres",171600
"Reino Unido","2009",0.26739,0.267636,0.000246162,"Mujeres",171600
"Reino Unido","2010",0.242579,0.238323,0.00425599,"Hombres",171600
"Reino Unido","2011",0.305847,0.328982,0.0231352,"Mujeres",171600
"Reino Unido","2012",0.335086,0.391245,0.056159,"Mujeres",171600
"Reino Unido","2013",0.353495,0.431071,0.0775761,"Mujeres",171600
"Reino Unido","2014",0.39539,0.380479,0.0149108,"Hombres",171600
"República Checa","2008",0.102857,0.186667,0.0838095,"Mujeres",4925
"República Checa","2009",0.116667,0.0714286,0.0452381,"Hombres",4925
"República Checa","2010",0.3,0.37037,0.0703704,"Mujeres",4925
"República Checa","2011",0.375,0.575,0.2,"Mujeres",4925
"República Checa","2012",0.195402,0.258065,0.0626622,"Mujeres",4925
"República Checa","2013",0.336283,0.478261,0.141978,"Mujeres",4925
"República Checa","2014",0.306452,0.469388,0.162936,"Mujeres",4925
"Rumanía","2008",0.110169,1,0.889831,"Mujeres",6720
"Rumanía","2009",0.177778,0.5,0.322222,"Mujeres",6720
"Rumanía","2010",0.130435,0.333333,0.202899,"Mujeres",6720
"Rumanía","2011",0.0362694,0.5,0.463731,"Mujeres",6720
"Rumanía","2012",0.0947368,0.705882,0.611146,"Mujeres",6720
"Rumanía","2013",0.57732,0.880597,0.303277,"Mujeres",6720
"Rumanía","2014",0.428571,0.641791,0.21322,"Mujeres",6720
"Suecia","2008",0.223767,0.343584,0.119817,"Mujeres",222175
"Suecia","2009",0.240523,0.391068,0.150545,"Mujeres",222175
"Suecia","2010",0.282287,0.345602,0.0633156,"Mujeres",222175
"Suecia","2011",0.313007,0.349465,0.0364582,"Mujeres",222175
"Suecia","2012",0.367726,0.433146,0.0654203,"Mujeres",222175
"Suecia","2013",0.50396,0.580607,0.0766474,"Mujeres",222175
"Suecia","2014",0.775908,0.758544,0.0173644,"Hombres",222175
